Apr 08 2018 	6919.98 	7111.56 	6919.98 	7023.52 	3652500000 	117392000000
Apr 07 2018 	6630.51 	7050.54 	6630.51 	6911.09 	3976610000 	112467000000
Apr 06 2018 	6815.96 	6857.49 	6575.00 	6636.32 	3766810000 	115601000000
Apr 05 2018 	6848.65 	6933.82 	6644.80 	6811.47 	5639320000 	116142000000
Apr 04 2018 	7456.41 	7469.88 	6803.88 	6853.84 	4936000000 	126434000000
Apr 03 2018 	7102.26 	7530.94 	7072.49 	7456.11 	5499700000 	120415000000
Apr 02 2018 	6844.86 	7135.47 	6816.58 	7083.80 	4333440000 	116037000000
Apr 01 2018 	7003.06 	7060.95 	6526.87 	6844.23 	4532100000 	118705000000
Mar 31 2018 	6892.48 	7207.85 	6863.52 	6973.53 	4553270000 	116820000000
Mar 30 2018 	7171.45 	7276.66 	6683.93 	6890.52 	6289510000 	121534000000
Mar 29 2018 	7979.07 	7994.33 	7081.38 	7165.70 	6361230000 	135205000000
Mar 28 2018 	7836.83 	8122.89 	7809.17 	7954.48 	4935290000 	132781000000
Mar 27 2018 	8200.00 	8232.78 	7797.28 	7833.04 	5378250000 	138919000000
Mar 26 2018 	8498.47 	8530.08 	7921.43 	8209.40 	5921040000 	143960000000
Mar 25 2018 	8612.81 	8682.01 	8449.10 	8495.78 	4569880000 	145882000000
Mar 24 2018 	8901.95 	8996.18 	8665.70 	8668.12 	5664600000 	150762000000
Mar 23 2018 	8736.25 	8879.62 	8360.62 	8879.62 	5954120000 	147941000000
Mar 22 2018 	8939.44 	9100.71 	8564.90 	8728.47 	5530390000 	151366000000
Mar 21 2018 	8937.48 	9177.37 	8846.33 	8929.28 	6043130000 	151316000000
Mar 20 2018 	8619.67 	9051.02 	8389.89 	8913.47 	6361790000 	145922000000
Mar 19 2018 	8344.12 	8675.87 	8182.40 	8630.65 	6729110000 	141240000000
Mar 18 2018 	7890.52 	8245.51 	7397.99 	8223.68 	6639190000 	133547000000
Mar 17 2018 	8321.91 	8346.53 	7812.82 	7916.88 	4426150000 	140834000000
Mar 16 2018 	8322.91 	8585.15 	8005.31 	8338.35 	5289380000 	140834000000
